"";"gene_id";"gene_name"
"1";"ENSMUSG00000026208.10";" Des"
"2";"ENSMUSG00000060802.9";" B2m"
"3";"ENSMUSG00000028111.5";" Ctsk"
"4";"ENSMUSG00000038642.11";" Ctss"
"5";"ENSMUSG00000038170.16";" Pde4dip"
"6";"ENSMUSG00000028332.14";" Hemgn"
"7";"ENSMUSG00000028364.16";" Tnc"
"8";"ENSMUSG00000028581.18";" Laptm5"
"9";"ENSMUSG00000028906.18";" Epb41"
"10";"ENSMUSG00000029306.9";" Ibsp"
"11";"ENSMUSG00000042744.17";" Hectd4"
"12";"ENSMUSG00000029661.17";" Col1a2"
"13";"ENSMUSG00000070436.13";" Serpinh1"
"14";"ENSMUSG00000030730.13";" Atp2a1"
"15";"ENSMUSG00000031972.6";" Acta1"
"16";"ENSMUSG00000050578.11";" Mmp13"
"17";"ENSMUSG00000032294.18";" Pkm"
"18";"ENSMUSG00000047139.10";" Cd24a"
"19";"ENSMUSG00000061315.15";" Naca"
"20";"ENSMUSG00000018593.14";" Sparc"
"21";"ENSMUSG00000033196.18";" Myh2"
"22";"ENSMUSG00000056328.15";" Myh1"
"23";"ENSMUSG00000009350.14";" Mpo"
"24";"ENSMUSG00000039084.9";" Chad"
"25";"ENSMUSG00000017493.13";" Igfbp4"
"26";"ENSMUSG00000033880.12";" Lgals3bp"
"27";"ENSMUSG00000070327.16";" Rnf213"
"28";"ENSMUSG00000095079.7";" Igha"
"29";"ENSMUSG00000095217.2";" H2bc15"
"30";"ENSMUSG00000058773.3";" H1f5"
"31";"ENSMUSG00000101972.2";" H3c11"
"32";"ENSMUSG00000052565.8";" H1f3"
"33";"ENSMUSG00000069310.5";" H3c3"
"34";"ENSMUSG00000021798.15";" Ldb3"
"35";"ENSMUSG00000022108.9";" Itm2b"
"36";"ENSMUSG00000022584.15";" Ly6c2"
"37";"ENSMUSG00000036594.16";" H2-Aa"
"38";"ENSMUSG00000001525.11";" Tubb5"
"39";"ENSMUSG00000119584.1";" Rn18s-rs5"
"40";"ENSMUSG00000023944.15";" Hsp90ab1"
"41";"ENSMUSG00000024471.13";" Myot"
"42";"ENSMUSG00000024588.11";" Fech"
"43";"ENSMUSG00000006457.5";" Actn3"
"44";"ENSMUSG00000092274.5";" Neat1"
"45";"ENSMUSG00000069833.14";" Ahnak"
"46";"ENSMUSG00000037071.4";" Scd1"
"47";"ENSMUSG00000015340.11";" Cybb"
"48";"ENSMUSG00000025270.14";" Alas2"
"49";"ENSMUSG00000064339.1";" mt-Rnr2"
"50";"ENSMUSG00000064370.1";" mt-Cytb"
