"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"1";" Dstn=[9.9e+03,1.23e+04]";" Ly6g6c=[1.2e+04,1.52e+04]";0,5;1;0,5;2;2
"2";" Ly6g6c=[1.2e+04,1.52e+04]";" Dstn=[9.9e+03,1.23e+04]";0,5;1;0,5;2;2
"3";" Dstn=[9.9e+03,1.23e+04]";" Wnk1=[1.713e+04,1.715e+04]";0,5;1;0,5;2;2
"4";" Wnk1=[1.713e+04,1.715e+04]";" Dstn=[9.9e+03,1.23e+04]";0,5;1;0,5;2;2
"5";" Dstn=[9.9e+03,1.23e+04]";" Rpl18a=[1.48e+04,1.92e+04]";0,5;1;0,5;2;2
"6";" Rpl18a=[1.48e+04,1.92e+04]";" Dstn=[9.9e+03,1.23e+04]";0,5;1;0,5;2;2
"7";" Dstn=[9.9e+03,1.23e+04]";" Lce1m=[8.7e+03,9.88e+03]";0,5;1;0,5;2;2
"8";" Lce1m=[8.7e+03,9.88e+03]";" Dstn=[9.9e+03,1.23e+04]";0,5;1;0,5;2;2
"9";" Actg1=[1.53e+04,1.74e+04]";" Anxa8=[1.83e+04,2.25e+04]";0,5;1;0,5;2;2
"10";" Anxa8=[1.83e+04,2.25e+04]";" Actg1=[1.53e+04,1.74e+04]";0,5;1;0,5;2;2
"11";" Rps7=[1.25e+04,1.33e+04]";" Ly6d=[1.08e+04,1.43e+04]";0,5;1;0,5;2;2
"12";" Ly6d=[1.08e+04,1.43e+04]";" Rps7=[1.25e+04,1.33e+04]";0,5;1;0,5;2;2
"13";" Ly6g6c=[1.2e+04,1.52e+04]";" Wnk1=[1.713e+04,1.715e+04]";0,5;1;0,5;2;2
"14";" Wnk1=[1.713e+04,1.715e+04]";" Ly6g6c=[1.2e+04,1.52e+04]";0,5;1;0,5;2;2
"15";" Ly6g6c=[1.2e+04,1.52e+04]";" Rpl18a=[1.48e+04,1.92e+04]";0,5;1;0,5;2;2
"16";" Rpl18a=[1.48e+04,1.92e+04]";" Ly6g6c=[1.2e+04,1.52e+04]";0,5;1;0,5;2;2
"17";" Ly6g6c=[1.2e+04,1.52e+04]";" Lce1m=[8.7e+03,9.88e+03]";0,5;1;0,5;2;2
"18";" Lce1m=[8.7e+03,9.88e+03]";" Ly6g6c=[1.2e+04,1.52e+04]";0,5;1;0,5;2;2
"19";" mt-Nd4=[5.76e+04,7.69e+04]";" Hsp90ab1=[1.76e+04,1.94e+04]";0,5;1;0,5;2;2
"20";" Hsp90ab1=[1.76e+04,1.94e+04]";" mt-Nd4=[5.76e+04,7.69e+04]";0,5;1;0,5;2;2
"21";" mt-Nd4=[5.76e+04,7.69e+04]";" Dst=[1.91e+04,3.31e+04]";0,5;1;0,5;2;2
"22";" Dst=[1.91e+04,3.31e+04]";" mt-Nd4=[5.76e+04,7.69e+04]";0,5;1;0,5;2;2
"23";" mt-Nd4=[5.76e+04,7.69e+04]";" Eef2=[3.76e+04,4.26e+04]";0,5;1;0,5;2;2
"24";" Eef2=[3.76e+04,4.26e+04]";" mt-Nd4=[5.76e+04,7.69e+04]";0,5;1;0,5;2;2
"25";" Krt79=[6.51e+03,7.12e+03]";" Ttn=[4e+04,2.13e+05]";0,5;1;0,5;2;2
"26";" Ttn=[4e+04,2.13e+05]";" Krt79=[6.51e+03,7.12e+03]";0,5;1;0,5;2;2
"27";" Krt79=[6.51e+03,7.12e+03]";" Scd1=[4.06e+04,6.88e+04]";0,5;1;0,5;2;2
"28";" Scd1=[4.06e+04,6.88e+04]";" Krt79=[6.51e+03,7.12e+03]";0,5;1;0,5;2;2
"29";" Krt79=[6.51e+03,7.12e+03]";" Timp2=[8.77e+03,9.55e+03]";0,5;1;0,5;2;2
"30";" Timp2=[8.77e+03,9.55e+03]";" Krt79=[6.51e+03,7.12e+03]";0,5;1;0,5;2;2
"31";" Krt79=[6.51e+03,7.12e+03]";" Fasn=[1.78e+04,2.34e+04]";0,5;1;0,5;2;2
"32";" Fasn=[1.78e+04,2.34e+04]";" Krt79=[6.51e+03,7.12e+03]";0,5;1;0,5;2;2
"33";" Ttn=[4e+04,2.13e+05]";" Scd1=[4.06e+04,6.88e+04]";0,5;1;0,5;2;2
"34";" Scd1=[4.06e+04,6.88e+04]";" Ttn=[4e+04,2.13e+05]";0,5;1;0,5;2;2
"35";" Ttn=[4e+04,2.13e+05]";" Timp2=[8.77e+03,9.55e+03]";0,5;1;0,5;2;2
"36";" Timp2=[8.77e+03,9.55e+03]";" Ttn=[4e+04,2.13e+05]";0,5;1;0,5;2;2
"37";" Ttn=[4e+04,2.13e+05]";" Fasn=[1.78e+04,2.34e+04]";0,5;1;0,5;2;2
"38";" Fasn=[1.78e+04,2.34e+04]";" Ttn=[4e+04,2.13e+05]";0,5;1;0,5;2;2
"39";" Wnk1=[1.713e+04,1.715e+04]";" Rpl18a=[1.48e+04,1.92e+04]";0,5;1;0,5;2;2
"40";" Rpl18a=[1.48e+04,1.92e+04]";" Wnk1=[1.713e+04,1.715e+04]";0,5;1;0,5;2;2
"41";" Wnk1=[1.713e+04,1.715e+04]";" Lce1m=[8.7e+03,9.88e+03]";0,5;1;0,5;2;2
"42";" Lce1m=[8.7e+03,9.88e+03]";" Wnk1=[1.713e+04,1.715e+04]";0,5;1;0,5;2;2
"43";" Rpl18a=[1.48e+04,1.92e+04]";" Lce1m=[8.7e+03,9.88e+03]";0,5;1;0,5;2;2
"44";" Lce1m=[8.7e+03,9.88e+03]";" Rpl18a=[1.48e+04,1.92e+04]";0,5;1;0,5;2;2
"45";" Scd1=[4.06e+04,6.88e+04]";" Timp2=[8.77e+03,9.55e+03]";0,5;1;0,5;2;2
"46";" Timp2=[8.77e+03,9.55e+03]";" Scd1=[4.06e+04,6.88e+04]";0,5;1;0,5;2;2
"47";" Scd1=[4.06e+04,6.88e+04]";" Fasn=[1.78e+04,2.34e+04]";0,5;1;0,5;2;2
"48";" Fasn=[1.78e+04,2.34e+04]";" Scd1=[4.06e+04,6.88e+04]";0,5;1;0,5;2;2
"49";" Timp2=[8.77e+03,9.55e+03]";" Fasn=[1.78e+04,2.34e+04]";0,5;1;0,5;2;2
"50";" Fasn=[1.78e+04,2.34e+04]";" Timp2=[8.77e+03,9.55e+03]";0,5;1;0,5;2;2
"51";" Hsp90ab1=[1.76e+04,1.94e+04]";" Dst=[1.91e+04,3.31e+04]";0,5;1;0,5;2;2
"52";" Dst=[1.91e+04,3.31e+04]";" Hsp90ab1=[1.76e+04,1.94e+04]";0,5;1;0,5;2;2
"53";" Hsp90ab1=[1.76e+04,1.94e+04]";" Eef2=[3.76e+04,4.26e+04]";0,5;1;0,5;2;2
"54";" Eef2=[3.76e+04,4.26e+04]";" Hsp90ab1=[1.76e+04,1.94e+04]";0,5;1;0,5;2;2
"55";" Dst=[1.91e+04,3.31e+04]";" Eef2=[3.76e+04,4.26e+04]";0,5;1;0,5;2;2
"56";" Eef2=[3.76e+04,4.26e+04]";" Dst=[1.91e+04,3.31e+04]";0,5;1;0,5;2;2
